"id","name","country_id","language_id","region_id","data_value","start_date","end_date","publish_status","view_id","page_url","url_directory","meta_title","meta_description","home_page_id","super_app_id","legacy_template_id","is_mobile","space_between_items","show_on_search_engines","create_date","is_deleted"
3782,[OLD] WINTER LP APP,10,6,1,"{""componentJson"": [{""id"": 7217, ""displayOrder"": 1}, {""id"": 7218, ""displayOrder"": 2}]}","2025-12-04 08:59:37.688239","2029-12-31 19:00:00",1,2,winter-lp-nt,/katalog,Winter LP,Winter LP,0,0,116998,true,false,0,"2026-02-17 21:46:30.855693",false
3783,[OLD] WINTER LP,10,6,1,"{""componentJson"": [{""id"": 7219, ""displayOrder"": 1}, {""id"": 7220, ""displayOrder"": 2}]}","2025-12-04 08:59:29.621127","2029-12-31 19:00:00",1,2,winter-lp,/katalog,Winter LP,Winter LP,0,0,116999,false,false,0,"2026-02-17 21:46:30.984692",false
3784,[OLD] WINTER LP,10,3,1,"{""componentJson"": [{""id"": 7221, ""displayOrder"": 1}, {""id"": 7222, ""displayOrder"": 2}]}","2025-12-04 08:58:11.744846","2029-12-31 19:00:00",1,2,winter-lp,/katalog,Winter LP,Winter LP,0,0,117000,false,false,0,"2026-02-17 21:46:31.109595",false
3785,[OLD] WINTER LP APP,10,3,1,"{""componentJson"": [{""id"": 7223, ""displayOrder"": 1}, {""id"": 7224, ""displayOrder"": 2}]}","2025-12-04 08:58:05.881814","2029-12-31 19:00:00",1,2,winter-lp-nt,/katalog,Winter LP,Winter LP,0,0,117001,true,false,0,"2026-02-17 21:46:31.234698",false
3695,[OLD] WEB-BOYS-AL,143,21,126,"{""componentJson"": [{""id"": 7632, ""displayOrder"": 1}]}","2026-02-17 01:37:19","2036-02-17 01:39:43",1,8,"","","","",634,0,0,false,false,1,"2026-02-17 21:45:43.987014",false
3189,[OLD] WEB-MARKALAR-ANASAYFA,1,1,1,"{""componentJson"": [{""id"": 7252, ""isActive"": true, ""displayOrder"": 1}, {""id"": 8200, ""isActive"": true, ""displayOrder"": 2}, {""id"": 8202, ""isActive"": true, ""displayOrder"": 3}, {""id"": 8203, ""isActive"": true, ""displayOrder"": 4}, {""id"": 8205, ""isActive"": true, ""displayOrder"": 5}, {""id"": 8192, ""isActive"": true, ""displayOrder"": 6}, {""id"": 8206, ""isActive"": true, ""displayOrder"": 7}, {""id"": 8208, ""isActive"": true, ""displayOrder"": 8}, {""id"": 8209, ""isActive"": true, ""displayOrder"": 9}]}","2026-02-17 10:43:35.278","2035-08-10 21:00:20",1,8,"","","","",95701,0,0,false,false,1,"2026-02-17 21:41:06.008005",false
3677,[OLD] WEB-DEALZONE-CR-080126,58,17,126,"{""componentJson"": [{""id"": 7062, ""isActive"": true, ""displayOrder"": 1}, {""id"": 8212, ""isActive"": true, ""displayOrder"": 2}, {""id"": 7774, ""isActive"": true, ""displayOrder"": 3}, {""id"": 7455, ""isActive"": true, ""displayOrder"": 4}, {""id"": 7236, ""isActive"": true, ""displayOrder"": 5}, {""id"": 7238, ""isActive"": true, ""displayOrder"": 6}, {""id"": 7239, ""isActive"": true, ""displayOrder"": 7}]}","2026-02-05 02:53:51.204","2036-01-09 00:35:59",1,8,"","","","",363,0,0,false,false,1,"2026-02-17 21:45:20.975549",false
3723,[OLD] WEB-BABY-UARU-111225,24,3,126,"{""componentJson"": [{""id"": 8119, ""isActive"": true, ""displayOrder"": 1}]}","2026-02-17 04:25:09.676","2035-12-11 03:00:06",1,8,"","","","",213,1,0,true,false,1,"2026-02-17 21:46:08.255236",false
3735,[OLD] WEB-DEALZONE-UARU-080126,24,3,126,"{""componentJson"": [{""id"": 7138, ""isActive"": true, ""displayOrder"": 1}, {""id"": 8212, ""isActive"": true, ""displayOrder"": 2}, {""id"": 7774, ""isActive"": true, ""displayOrder"": 3}, {""id"": 7455, ""isActive"": true, ""displayOrder"": 4}, {""id"": 7236, ""isActive"": true, ""displayOrder"": 5}, {""id"": 7133, ""isActive"": true, ""displayOrder"": 6}, {""id"": 7238, ""isActive"": true, ""displayOrder"": 7}, {""id"": 7239, ""isActive"": true, ""displayOrder"": 8}]}","2026-02-06 03:21:59.406","2036-01-09 03:22:42",1,8,"","","","",214,0,0,false,false,1,"2026-02-17 21:46:10.100838",false
3730,[OLD] WEB-HOMEPAGE-UA-010126,24,5,1,"{""componentJson"": [{""id"": 7121, ""displayOrder"": 1}, {""id"": 7122, ""displayOrder"": 2}, {""id"": 7123, ""displayOrder"": 3}, {""id"": 7124, ""displayOrder"": 4}]}","2026-01-02 06:20:12.10337","2036-01-01 06:04:29",1,8,"","","","",201,0,120104,false,false,0,"2026-02-17 21:46:09.005191",false
