"id","display_order","name","viewkey","status_type_id","platform_id","super_app_id","create_user_name","create_date","last_updated_user_name","last_updated_date","language_id","country_id","is_default","title","is_highlighted","old_id","old_status_type_id","old_platform_id","old_super_app_id","fallback_homepage_id"
"47",16,"HOMEPAGE","homepage-ro-app",2,21,1,"TANER.CEVHER","2025-08-28 12:54:09.985112","TANER.CEVHER","2026-03-26 11:57:16.783365",7,50,False,"HOMEPAGE",False,"47","1","21","1",NULL
"48",15,"FEMEI","women-ro-app",1,21,1,"TANER.CEVHER","2025-08-28 12:54:20.636441","TANER.CEVHER","2026-03-26 11:57:16.783372",7,50,True,"FEMEI",False,"48","1","21","1",NULL
"49",17,"BĂRBAȚI","men-ro-app",1,21,1,"TANER.CEVHER","2025-08-28 12:54:28.387504","TANER.CEVHER","2026-03-26 11:57:16.783372",7,50,False,"BĂRBAȚI",False,"49","1","21","1",NULL
"50",108,"COPII & BEBELUȘI","kids-baby-ro-app",3,21,1,"TANER.CEVHER","2025-08-28 12:54:40.206939","TANER.CEVHER","2026-03-26 11:57:16.783372",7,50,False,"COPII & BEBELUȘI",False,"50","2","21","1",NULL
"51",23,"ZONA DE REDUCERI","deal-zone-ro-app",2,21,1,"TANER.CEVHER","2025-08-28 12:54:52.303594","","2026-06-11 08:33:50.801179",7,50,False,"ZONA DE REDUCERI",True,"51","1","21","1",NULL
"52",120,"Homepage","homepage-egen",2,1,0,"TANER.CEVHER","2025-08-28 16:23:10.612196","MACIT.ISIK","2026-06-09 07:00:37.476076",2,8,False,"Homepage",False,"52","1","1","0",NULL
"53",48,"Women","women-egen",1,1,0,"TANER.CEVHER","2025-08-28 16:23:20.537627","MACIT.ISIK","2026-06-09 07:00:37.476092",2,8,True,"Women",False,"53","1","1","0",NULL
"54",122,"Men","men-egen",1,1,0,"TANER.CEVHER","2025-08-28 16:23:26.577328","MACIT.ISIK","2026-06-09 07:00:37.476093",2,8,False,"Men",False,"54","1","1","0",NULL
"55",123,"Kids & Baby","kids-baby-egen",2,1,0,"TANER.CEVHER","2025-08-28 16:23:45.034342","MACIT.ISIK","2026-06-09 07:00:37.476093",2,8,False,"Kids & Baby",False,"55","2","1","0",NULL
"56",90,"Deal Zone","deal-zone-egen",2,1,0,"TANER.CEVHER","2025-08-28 16:23:56.419124","MACIT.ISIK","2026-06-09 07:00:37.476094",2,8,False,"Deal Zone",True,"56","1","1","0",NULL
"57",16,"Homepage","homepage-egen-app",2,21,1,"TANER.CEVHER","2025-08-28 16:24:29.070109","TANER.CEVHER","2026-03-26 11:57:16.783373",2,8,False,"Homepage",False,"57","1","21","1",NULL
"58",15,"Women","women-egen-app",1,21,1,"TANER.CEVHER","2025-08-28 16:24:40.913217","TANER.CEVHER","2026-03-26 11:57:16.783373",2,8,True,"Women",False,"58","1","21","1",NULL
"59",17,"Men","men-egen-app",1,21,1,"TANER.CEVHER","2025-08-28 16:25:27.607849","TANER.CEVHER","2026-03-26 11:57:16.783373",2,8,False,"Men",False,"59","1","21","1",NULL
"60",18,"Kids & Baby","kids-baby-egen-app",2,21,1,"TANER.CEVHER","2025-08-28 16:25:43.303984","TANER.CEVHER","2026-03-26 11:57:16.783373",2,8,False,"Kids & Baby",False,"60","2","21","1",NULL
"61",24,"Deal Zone","deal-zone-egen-app",2,21,1,"TANER.CEVHER","2025-08-28 16:25:55.945487","","2026-05-14 07:16:54.541522",2,8,False,"Deal Zone",True,"61","1","21","1",NULL
"62",16,"الصفحة الرئيسية","homepage-eg",2,1,0,"TANER.CEVHER","2025-08-28 18:39:29.147067","MACIT.ISIK","2026-06-09 07:00:37.476105",12,8,False,"الصفحة الرئيسية",False,"62","1","1","0",NULL
